Dealer #,Name ,Street Name,City,State,Country,Postal Code,Comments
50005901,AGCO  do BRASIL SOLUCOES AGRICOLAS,AVE. JOSE ALVES DE OLIVEIRA NO. 300,"DISTRITO INDUSTRIAL, JUNDIAI",Sao Paulo,Brazil,13213-105,
50007499,AGCO ARGENTINA - GENERAL RODRIGUEZ,RUTA 24 KM 18,GENERAL RODRIGUEZ,Buenos Aires,Argentina,1748,
50001545,AGCO ARGENTINA S.A.,"VALENTIN GOMEZ 577, CP 1706-HAEDO",BUENOS AIRES,Buenos Aires,Argentina,1706,
50001511,AGCO AUSTRALIA LIMITED (Hardware),615 SOMERVILLE ROAD,SUNSHINE WEST,Victoria,Australia,3020,
50001441,AGCO BEAUVAIS.,"41, AVENUE BLAISE, PASCAL, B.P. 603",BEAUVAIS CEDEX,Oise,France,60026,
50001227,AGCO CORPORATION,202 INDUSTRIAL PARK,JACKSON,Minnesota,USA,56143,
50003365,AGCO CORPORATION,PO BOX 566,BELOIT,Kansas,USA,67420,
50001331,AGCO CORPORATION -KS,420 W. LINCOLN BLVD.,HESSTON,Kansas,USA,67062,"Agricultural equipment sales, nothing on website"
50005921,AGCO DO BRASIL SOLUCOES AGRICOLAS,"AVENIDA DOS BANDEIRANTES, 384",RIBEIRAO PRETO,Sao Paulo,Brazil,14030-680,
50006246,AGCO do BRASIL SOLUCOES AGRICOLAS L,"ROD. RS 344 S/N, KM 01",SANTA ROSA,Rio Grande do Sul,Brazil,98900-000,
50001484,AGCO INTERNATIONAL GMBH,JOHANN-GEORG-FENDT-STR. 4,MARKTOBERDORF,Bavaria,Germany,87616,
50003121,AGCO INTERNATIONAL GMBH,ABBEY PARK STONELEIGH,KENILWORTH,GB/Not assigned,United Kingdom,CV8 2TQ,
50004510,AGCO INTERNATIONAL GmbH,VICTOR VON BRUNS-STRASSE 17,NEUHAUSEN AM RHEINFALL,Schaffhausen,Switzerland,8212,
50002941,AGCO INTERNATIONAL GMBH (FRANCE),ZAC DE LA FONTAINE DES SAINTS CUSTO,ENNERY,FR/Not assigned,France,57365,
50004450,AGCO ITALIA SPA,"VIA DELL'INDUSTRIA, 63",BREGANZE,Vicenza,Italy,36042,
50001688,AGCO PARTS DIVISION,1500 N RADDANT ROAD,BATAVIA,Illinois,USA,60510,
50001613,AGCO S.P.A.,SEDE BREGANZE VIAS F. LAVERDA 15/17,BREGANZE,Vicenza,Italy,36042,
50008455,AGLAND (AG),PO BOX 10039,LLOYDMINSTER,Alberta,Canada,T9V 3A2,"Agricultural equipment (John Deere, Brandt, Bobcat, etc), nothing on website"
50007967,AG-POWER INC (AG),"1512 BRAY CENTRAL DRIVE, SUITE 100",MCKINNEY,Texas,USA,75071,
50008231,AGPRO MARKETING & MANUFACTURING INC,1112 AIRWAY AVE,LEWISTON,Idaho,USA,83501,
50001924,AGRI NORTHWEST,PO BOX 2308,TRI CITIES,Washington,USA,99302,
50008921,AGRICEF SOLUCOES TECNOLOGICAS,"AV DR ROBERTO MOREIRA, 4500, LOTEAM",PAULINIA,Sao Paulo,Brazil,13148-150,
50001606,AGRICULTURA CIENTIFICA S.A.,OFICENTRO PALACIO NO. 9,SAN JOSE,CR/Not assigned,Costa Rica,10107,
50001641,AGRI-SERVICE (AG),300 AGRI-SERVICE WAY,KIMBERLY,Idaho,USA,83341,
50007157,AGRITERRA EQUIPMENT - CAMROSE,4716-38 STREET,CAMROSE,Alberta,Canada,T4V 3T5,
50005163,AGRITERRA EQUIPMENT (AG),BOX 3099,STONY PLAIN,Alberta,Canada,T7Z 1Z1,
50007672,AGRI-TRONIX (AG),2001 NORTH MORTON STREET,FRANKLIN,Indiana,USA,46131,
50007881,AGRIVISION (AG),58668 190TH STREET,PACIFIC JUNCTION,Iowa,USA,51561,"Agricultural equipment (John Deere), nothing on website"
50007940,AGROSURE,"R MARISA, 403",RIBEIRAO PRETO,Sao Paulo,Brazil,14091-150,
50003242,AGSERV CONSULTING,38725 U.S. HWY 75 NW,STEPHEN,Minnesota,USA,56757,
50001145,AGWORLD EQUIPMENT,"100 SERVICE STREET,P.O. BOX 340",KINISTINO,Saskatchewan,Canada,S0J 1H0,
50008347,AHW LLC (AG),27668 E 3200 N ROAD,DWIGHT,Illinois,USA,60420,
50006501,AIS CONSTRUCTION EQUIPMENT CORPORAT,600 AIS DRIVE SW,GRAND RAPIDS,Michigan,USA,49548,
50008226,AITEC SA (AG),ELIODORO YANEZ N 1812,PROVIDENCIA,RM - Santiago,Chile,#,
50003227,AKRON SERVICES,17705 N. ELEVATOR ROAD,EDELSTEIN,Illinois,USA,61526,
50009582,AKRS EQUIPMENT SOLUTIONS INC.,150 NW 40TH STREET,LINCOLN,Nebraska,USA,68528,
50005725,ALAMO VALLEY GEOSYSTEMS (CH/ SK),PO BOX 460857,SAN ANTONIO,Texas,USA,78246,
50000200,ALERT-O-LITE - FRESNO (SK),PO BOX 12224,FRESNO,California,USA,93777,"Construction supplies, nothing on website"
50009339,ALEXSON (CH),3 ORMOND ST.,LINWOOD,Pennsylvania,USA,19061,
50001788,ALL AMERICAN COOP (SGIS),113  4TH STREET SE,STEWARTVILLE,Minnesota,USA,55976,
50004631,ALL SERVICE (CH),770 RT 23,POMPTON PLAINS,New Jersey,USA,7444,
50005145,ALLEN INSTRUMENTS AND SUPPLIES (CH),7114 EAST EARLL DRIVE,SCOTTSDALE,Arizona,USA,85251,
50001769,"ALLIANCE APPLICATION EQUIPMENT, LLC",1115 HWY 51 NORTH,TROY,Tennessee,USA,38260,
50008288,ALLTERRA CENTRAL (CH),14722 REGNAL STREET,HOUSTON,Texas,USA,77039,
50009588,ALMACO (AG),99 M AVE,NEVEDA,Iowa,USA,50201,
50007944,ALMARAI COMPANY LIMITED (AG),PO BOX 8524,RIYADH,SA/Not assigned,Saudi Arabia,11492,
50000033,ALMART ENTERPRISES INC (SK),1383 FREY ROAD,PITTSBURGH,Pennsylvania,USA,15235,
50009845,ALPINE NAVIGATION LLC (CH),3070 I-70 BUS UNIT B-1,GRAND JUNCTION,Colorado,USA,81504,"Yes, they have Topcon"
50001342,ALTORFER (AG),9670 TABOR ROAD,CLINTON,Illinois,USA,61727,
50001718,ALTRA RENTAL AND SUPPLY INC. (CH),PO BOX 427,ONTARIO,New York,USA,14519-0427,
50007668,AMELICOR (AG),1525 WEST 820 NORTH,PROVO,Utah,USA,84601,
50004908,AMERICAN CONSTRUCTION SUPPLY&RENTAL,PO BOX 1160,NAMPA,Idaho,USA,83653,
50008193,AMERICAN IMPLEMENT (AG),2302 E. MARY STREET,GARDEN CITY,Kansas,USA,67846,
50003539,AMITY TECHNOLOGY LLC,2800 7TH AVE N,FARGO,North Dakota,USA,58102,
50004214,AMMANN CZECH REPUBLIC a.s.,NACHODSKA 145,NOVE MESTO METUJI,CZ/Not assigned,Czech Republic,549 01,
50009111,ANALYSIS & SOLUTIONS CONSULTANTS,"3767 OVERLAND AVE, STE. 115",LOS ANGELES,California,USA,90034,
50000388,ANALYTICAL SERVICES CO (SK),10 DEAN KNAUSS DRIVE,NARRAGANSETT,Rhode Island,USA,2882,
50000905,ANDERSON MACHINERY COMPANY,P.O. BOX 4806,CORPUS CHRISTI,Texas,USA,78469,"Construction equipment dealership, nothing on website"
50009371,AP MANUFACTURING INC.,990 E. SOUTH LOOP,STEPHENVILLE,Texas,USA,76401,
50008367,APPLE FARM SERVICE INC (AG),10120 WEST VERSAILLES ROAD,COVINGTON,Ohio,USA,45318,
50006041,APPLIED INDUSTRIAL TECH,"143 WHEELER STREET, PO BOX 8849",SASKATOON,Saskatchewan,Canada,S7P 0A4,
50010014,APPLIED INDUSTRIAL TECHNOLOGIES LP,PO BOX 93018,CLEVELAND,US/Not assigned,USA,44101-5018,
50000089,"ARC- ATLANTA, GA (SK)",640 TENTH STREET NW,ATLANTA,Georgia,USA,30318,
50009747,ARCO CONTRACTORS SUPPLY CO (CH),2305 LUDELLE ST,FORT WORTH,Texas,USA,76105,
50008507,ARNOLDS OF ALDEN (AG),110 NORTH STAR RD,ALDEN,Minnesota,USA,56009,
50008150,ARNOLDS OF MANKATO (AG),1715 HOWARD DRIVE,MANKATO,Minnesota,USA,56003,
50008151,ARNOLDS OF WILLMAR (AG),4773 HWY 71 S,WILLMAR,Minnesota,USA,56201,
50000936,ARPLAN GEOTEK,APARTADO POSTAL 30333 TONCONTIN,"TONCONTIN, TEGUCIGALPA",HN/Not assigned,Honduras,30333,
50003478,"ARROW CONSTRUCTION SUPPLY, INC (CH)",PO BOX 11133,SPOKANE,Washington,USA,99211-1133,
50000710,ART-DRAFT AUTHORITY INC.,399 ANDALUCIA AVE,PUERTO NUEVO,Puerto Rico,USA,00920-4105,
50007747,ARTEX MANUFACTURING (AG),PO BOX 88,REDWOOD FALLS,Minnesota,USA,56283-0319,
50007924,ARTS-WAY MANUFACTURING (AG),PO BOX 288,ARMSTRONG,Iowa,USA,50514,
50008753,ASTRA VEICOLI IND SPA -CNH ITALY,"Via Caorsana, 79",PIACENZA,IT/Not assigned,Italy,29122,
50000218,"ASTRO WOOD STAKE, INC (CH)",6017 CHICAGO DRIVE,ZEELAND,Michigan,USA,49464,
50007474,ATI CORPORATION,250 EARLAND DRIVE,NEW HOLLAND,Pennsylvania,USA,17557,
50001852,ATKINSON GRAIN & FERTILIZER (SGIS),100 EAST CAHN,HOOPPOLE,Illinois,USA,61258,
50001285,ATLANTA TRADING COMPANY,1925 SHILOH RD. BLDG 3  SUITE 400,KENNESAW,Georgia,USA,30144,
50009744,ATLANTIC HARDWARE SUPPLY (CH),70 INDUSTRIAL PARK DRIVE UNIT 3C,WALDORF,Maryland,USA,20602,
50008514,ATLANTIC TRACTOR LLC (AG),31415 JOHN DEERE DRIVE,SALISBURY,Maryland,USA,21804,
50007682,ATLAS SCALE CO (AG),365 HERITAGE DR,KITCHENER,Ontario,Canada,N2B 3K9,
50008087,AUSLOGIC SYSTEMS PTY LTD (AG),PO BOX 661,TOOWOOMBA,Queensland,Australia,4350,
50003003,AUSTIN PRECISION,PO BOX 1037,CAMINO,California,USA,95709,
50009812,"AUTMOW, LLC",41 ISRAEL STREE,WESTERVILLE,Ohio,USA,43081,
50009097,AUTONOMOUS SOLUTIONS INC,990 NORTH 8000 WEST,PETERSBORO,Utah,USA,84325,
50005715,AUTOSPLICE INDUSTRIA E COMERCIO LTD,"RUA PIERRE LAFAGE, 219",SAO PAULO,Sao Paulo,Brazil,05163-060,
50000829,B.L. MAKEPEACE,575 UNIVERSITY AVENUE SUITE D,NORWOOD,Massachusetts,USA,2062,
50007953,"BACON- UNIVERSAL CO., INC.",918 AHUA STREET,HONOLULU,Hawaii,USA,96819,
50008114,BALZER INC (AG),COUNTY RD 27 BOX 458,MOUNTAIN LAKE,Minnesota,USA,56159,
50001750,BARNSCO INC. (CH),PO BOX 541087,DALLAS,Texas,USA,75354,
50007700,BASCULAS DEL NOROESTE (AG),"CALIFORNIA 1424-C SUR, COLONIA SOCH",OBREGON,Sonora,Mexico,85150,
50003472,BASE ASSESSORIA AGRONOMICA LTDA,AV. OSVALDO ZAMBONATO 623,SILVEIRA MARTINS,Rio Grande do Sul,Brazil,97195-000,
50000332,BASELINE EQUIPMENT CO. (SK),PO BOX 22806,EUGENE,Oregon,USA,97402,
50000699,BASSLER EQUIPMENT (CH),1300 WYOMING AVENUE,FORTY FORT,Pennsylvania,USA,18704,
50007966,BATTLE RIVER IMPLEMENTS (AG),4717 38TH ST,CAMROSE,Alberta,Canada,T4V 3W9,
50001594,BAY EQUIPMENT COMPANY (CH),12093 WATERMAN DRIVE,NEWPORT NEWS,Virginia,USA,23602,
50000180,BAY VERTE MACHINERY INC. (SK),975 PARKVIEW ROAD,GREEN BAY,Wisconsin,USA,54304,
50001926,BAYSHORE SURV INSTR  DEER PARK (SK),2822 KINGSDALE DRIVE,DEER PARK,Texas,USA,77536,
50004561,BAYSHORE SURVEYING INST CO INC (CH/,2822 KINGSDALE DRIVE,DEER PARK,Texas,USA,77536,
50001172,BB EQUIPOS TOPOGRAFICOS,CRA 19B NO.83-63 OFICINA 401,BOGOTA D.C. CUNDINAMARCA,BOGOTA,Colombia,#,
50008008,BCA AG TECHNOLOGIES (AG),5451 BURNS RD,MEDINA,New York,USA,14103,
50000093,BEELINE + BLUE (sb),2507 INGERSOLL AVENUE,DES MOINES,Iowa,USA,50312,
50001933,BELLKATO INC (SK),PO BOX 997,MANKATO,Minnesota,USA,56002-0997,
50001960,BELTSVILLE CONSTRUCTION SUPPLY (CH),11525 EDMONTON ROAD,BELTSVILLE,Maryland,USA,20705,
50000295,BENCHMARK AZ (SK),4561 E WALATOWA,PHOENIX,Arizona,USA,85044,
50004986,BENCHMARK PRECISION INSTRUMENTS INC,8413 HALL ROAD,UTICA,Michigan,USA,48317,
50001174,"BENCHMARK TOOL & SUPPLY, INC.",2720 DISCOVERY DRIVE,RALEIGH,North Carolina,USA,27616,
50008222,BERGMAN FARM SUPPLY,"1304 BUCHANAN ST, ROUTE 136",CARTHAGE,Illinois,USA,62321,
50001780,"BINKLEY AND HURST, LP (AG)",PO BOX 395,LITITZ,Pennsylvania,USA,17543,
50001824,BIRD ISLAND SOIL SERVICE,511 OAK AVENUE,BIRD ISLAND,Minnesota,USA,55310,
50008125,BIRKEYS FARM STORE (AG),664 US HIGHWAY 150 EAST,GALESBURG,Illinois,USA,61401,
50003276,"BITUMINOUS ROADWAYS, INC.",1520 COMMERCE DRIVE,MENDOTA HEIGHTS,Minnesota,USA,55120,
50007671,BLASTCRETE EQUIPMENT COMPANY (AG),2000 COBB AVE,ANNISTON,Alabama,USA,36201-3050,
50007692,BLUE MOUNTAIN AGRISUPPORT INC (AG),620 THAIN ROAD,LEWISTON,Idaho,USA,83501,
50001950,BLUEPRINT SERVICE CO (SK),1100 18TH STREET,BAKERSFIELD,California,USA,93301,
50003547,BLUEPRINT SERVICES INC (CH),41-D INDUSTRIAL PARK DC,WALDORF,Maryland,USA,20602,
50005729,BOART LONGYEAR MANUFACTURING AND,2455 SOUTH 3600 WEST,SALT LAKE CITY,Utah,USA,84119,
50007903,BODENSTEINER IMPLEMENTS (AG),PO BOX 299,CLERMONT,Iowa,USA,52135,
50004872,BOMAG AMERICAS INC,125 BLUE GRANITE PARKWAY,RIDGEWAY,South Carolina,USA,29130,
50004308,BON TOOL CO (CH),4430 GIBSONIA ROAD,GIBSONIA,Pennsylvania,USA,15044,
50000612,BONNEVILLE BLUEPRINT SUPPLY,1802 CURTIS AVENUE,IDAHO FALLS,Idaho,USA,83402,
50008385,BORDER PLAINS EQUIPMENT,5109 FRONT STREET WEST,WILLISTON,North Dakota,USA,58801,
50001147,BOURGAULT INDUSTRIES LTD,BOX 39,ST. BRIEUX,Saskatchewan,Canada,S0K 3V0,
50009805,BOYD AND SONS MACHINERY LLC (AG),16 SOUTH 350 EAST,WASHINGTON,Indiana,USA,47051,
50000717,BOYD INSTRUMENT & SUPPLY CO.,443 B EASTON ROAD,HORSHAM,Pennsylvania,USA,19044,
50001525,BRAD INC. (CH),486 W. WRIGHTWOOD AVE,ELMHURST,Illinois,USA,60126,
50000793,BRANCO,1205 N. MCQUEEN ROAD,GILBERT,Arizona,USA,85233,
50008979,BRANDT INDUSTRIES USA LTD.,19500 N. 1425 E. ROAD,HUDSON,Illinois,USA,61748-7630,
50001558,BRANDT TRACTOR LTD - REGINA,"PO BOX 3856, HIGHWAY #1 EAST",REGINA,Saskatchewan,Canada,S4P 3R8,
50004512,"BROCK WHITE COMPANY, LLC (CH)",2575 KASOTA AVENUE,ST. PAUL,Minnesota,USA,55108,
50008536,BRODIE AG & INDUSTRIAL INC (AG),985285 PERTH-OXFORD RD,TRAVISTOCK,Ontario,Canada,N0B 2R0,
50006273,BROOKS TRACTOR INC.,PO BOX 9,SUN PRAIRIE,Wisconsin,USA,53590,
50009411,BROWN CO MFG & SALES (CH),12039 E. PINE ST,TULSA,Oklahoma,USA,74116,
50007880,BROWN COUNTY RENTAL (CH),8108 US 52 WEST,ABERDEEN,Ohio,USA,45101,
50001883,BROWN MILLING INC.,8731 E. ROSEBUSH ROAD,MOUNT PLEASANT,Michigan,USA,48858,
50008539,BRUNA IMPLEMENT CO,63409 714 RD,HUMBOLDT,Nebraska,USA,68376,
50007932,BRUNA IMPLEMENT CO (AG),201 E MIAMI ST,HIAWATHA,Kansas,USA,66434,
50008060,BRUNA IMPLEMENT CO (AG),1128 PONY EXPRESS HIGHWAY,MARYSVILLE,Kansas,USA,66508,
50008244,BRUNA IMPLEMENT CO (AG),12 E NORTH STREET,SENECA,Kansas,USA,66538,
50007849,BRUTALE MAQUINAS E EQUIPAMENTOS (AG,"AV GREGORIO AVERSA, 830",SAO CARLOS,Sao Paulo,Brazil,13571-260,
50008052,BTI EQUIPMENT (AG),PO BOX 127,BUCKLIN,Kansas,USA,67834,
50004619,BUHLER VERSATILE INC,1260 CLARENCE AVENUE,WINNIPEG,Manitoba,Canada,R3T 1T2,
50006651,BUILDERS BEST DO IT CENTER (CH),3798 LUKE ROAD,CORTLAND,New York,USA,13045,
50005010,BULLET RENTAL & SALES INC (CH),"5900 S, 6TH STREET SUITE B",KLAMATH FALLS,Oregon,USA,97603,
50003217,BULLFROG ENTERPRISES (CH),1581 SOUTH A STREET,SPRINGFIELD,Oregon,USA,97477,
50000928,BUTLER LASER,300 CEDARCREST DRIVE,LEXINGTON,South Carolina,USA,29072,
50007822,BUTLER MACHINERY (AG),PO BOX 9559,FARGO,North Dakota,USA,58106,
50001966,C & B BLUEPRINT CO (SK),824 6TH STREET,HUNTINGTON,West Virginia,USA,25701,
50005935,C & B MFG. INC (AG),P.O. BOX 179,JACKSON,Minnesota,USA,56143,
50008282,C & B OPERATIONS (AG),30965 US HWY 212,GETTYSBURG,South Dakota,USA,57442,
50005167,C & R SUPPLY (AG),3610 N. CLIFF AVENUE,SIOUX FALLS,South Dakota,USA,57104,
50008333,C&E ENTERPRISES (AG),PO BOX 1204,MILES CITY,Montana,USA,59301,
50000748,"C.A.S.CO., INC. (CH)",15207 AIRLINE HWY,BATON ROUGE,Louisiana,USA,70817,
50004165,C.L. BENNINGER EQUIPMENT LTD (AG),PO BOX 596,CHATHAM,Ontario,Canada,N7M 5K6,
50004926,CAL LOADER CONTRACTORS,2010 WEST AVENUE K #808,LANCASTER,California,USA,93536,
50009246,CALIBRACIONES SRL (AG),LUIS BATLLE BERRES 1332,PAYSANDU,UY/Not assigned,Uruguay,50000,
50001978,CALIFORNIA SURVEYING & DRAFTING (CH,4733 AUBURN BLVD,SACRAMENTO,California,USA,95841-3601,
50005814,CAOUETTE AND SONS IMPLEMENT LTD (AG,5406 - 46 Street,ST. PAUL,Alberta,Canada,T0A 3A0,
50004545,CAPITAL SURVEYING SUPPLIES (CH/SK),1400 W SAM HOUSTON PKWY N SUITE 200,HOUSTON,Texas,USA,77043,
50007684,CAPPEL SALES INC (AG),38083 ROAD 717,MCCOOK,Nebraska,USA,69001,
50008380,CARGILL ANIMAL NUTRITION (AG),149 JONERGIN DRIVE,SWANTON,Vermont,USA,5488,
50003496,CARLSON PAVING PRODUCTS,18425 50TH AVE E,TACOMA,Washington,USA,98446,
50000278,CAROLINA LASERS (CH),5508 OLD WAKE FOREST ROAD,RALEIGH,North Carolina,USA,27609,
50000569,CARON EAST,PO BOX 1378,CUMBERLAND,Maryland,USA,21501-1378,
50007870,CARRICO IMPLEMENTS INC (AG),3160 US-24 HWY,BELOIT,Kansas,USA,67420,
50007176,CARROLL CONSTRUCTION SUPPLY,1502 E. MAIN STREET,OTTUMWA,Iowa,USA,52501,
50000227,CARTER-WATERS CORPORATION (CH),PO BOX 412676,KANSAS CITY,Missouri,USA,64141,
50000838,CASA DE INGENIERIA Y PAPELERA,"PASAJE VALLARTA 1169, CENTRO CIVICO","MEXICALI, BAJA CALIF",Baja California,Mexico,21000,
50000837,CASA DEL AGRIMENSOR,AV 27 DE FEBRERO NO 204,SANTO DOMINGO,DO/Not assigned,Dominican Rep.,10107,
50007844,CASALE EQUIPAMENTOS LTDA (AG),"ROD WASHINGTON LUIZ, SN KM237",SAO CARLOS,Sao Paulo,Brazil,13560-970,
50006519,CASALE RENT-ALL (CH),1641 ROUTE 9,CLIFTON PARK,New York,USA,12065,
50008706,CASE NEW HOLLAND CE (I) PVT LTD,"PLOT NO. 157, INDUSTRIAL AREA III",PITHAMPUR,IN/Not assigned,India,454774,
50007750,CASTON COMERCIO E IMPORTACAO LTDA (,"RUA AQUIDABAN, 1143",SAO CARLOS,Sao Paulo,Brazil,13560-120,
50009297,CATTLE TECH INC. (AG),BOX 119,IRON SPRINGS,Alberta,Canada,T0K 1G0,
50007854,CATTLELAC CATTLE HANDLING SYSTEMS (,113 POPLAR RIDGE RD,RED DEER COUNTY,Alberta,Canada,T4S 0K6,
50007862,CATTLEXPERT MANAGEMENT SOFTWARE LLC,"20507 NICHOLAS CIRCLE, SUITE 100",ELKHORN,Nebraska,USA,68022,
